Team,Junk,1,2
Miami Heat,Junk,73.1707317,51.8292683
San Antonio Spurs,Junk,73.1707317,74.3902439
Oklahoma City Thunder,Junk,72.5609756,60.9756098
Los Angeles Clippers,Junk,68.902439,66.4634146
Memphis Grizzlies,Junk,64.6341463,59.1463415
Indiana Pacers,Junk,64.4171779,50.6097561
Houston Rockets,Junk,60.3658537,59.1463415
Golden State Warriors,Junk,59.7560976,85.3658537
Brooklyn Nets,Junk,56.8073171,35.9756098
Chicago Bulls,Junk,56.7073171,56.097561
Denver Nuggets,Junk,56.7073171,38.4146341
New York Knicks,Junk,55.4878049,29.8780488
Dallas Mavericks,Junk,54.8780488,56.097561
Portland Trail Blazers,Junk,53.0487805,57.9268293
Atlanta Hawks,Junk,50,65.8536585
Toronto Raptors,Junk,50,64.0243902
Phoenix Suns,Junk,44.5121951,37.804878
Washington Wizards,Junk,44.5121951,53.0487805
Los Angeles Lakers,Junk,43.902439,23.1707317
Minnesota Timberwolves,Junk,43.2926829,27.4390244
Utah Jazz,Junk,41.4634146,47.5609756
Boston Celtics,Junk,40.4907975,53.6585366
Charlotte Hornets,Junk,39.0243902,49.3902439
New Orleans Pelicans,Junk,37.195122,45.7317073
Detroit Pistons,Junk,35.3658537,46.3414634
Cleveland Cavaliers,Junk,34.7560976,67.0731707
Sacramento Kings,Junk,34.1463415,37.804878
Milwaukee Bucks,Junk,32.3170732,45.1219512
Philadelphia 76ers,Junk,32.3170732,17.0731707
Orlando Magic,Junk,26.2195122,36.5853659
