"","Team","2013-2014","2015-2016"
"1","Atlanta Hawks",0.5,0.658536585365854
"2","Boston Celtics",0.404907975460123,0.536585365853659
"3","Brooklyn Nets",0.567073170731707,0.359756097560976
"4","Charlotte Hornets",0.390243902439024,0.49390243902439
"5","Chicago Bulls",0.567073170731707,0.560975609756098
"6","Cleveland Cavaliers",0.347560975609756,0.670731707317073
"7","Dallas Mavericks",0.548780487804878,0.560975609756098
"8","Denver Nuggets",0.567073170731707,0.384146341463415
"9","Detroit Pistons",0.353658536585366,0.463414634146341
"10","Golden State Warriors",0.597560975609756,0.853658536585366
"11","Houston Rockets",0.603658536585366,0.591463414634146
"12","Indiana Pacers",0.644171779141104,0.50609756097561
"13","Los Angeles Clippers",0.689024390243902,0.664634146341463
"14","Los Angeles Lakers",0.439024390243902,0.231707317073171
"15","Memphis Grizzlies",0.646341463414634,0.591463414634146
"16","Miami Heat",0.731707317073171,0.518292682926829
"17","Milwaukee Bucks",0.323170731707317,0.451219512195122
"18","Minnesota Timberwolves",0.432926829268293,0.274390243902439
"19","New Orleans Pelicans",0.371951219512195,0.457317073170732
"20","New York Knicks",0.554878048780488,0.298780487804878
"21","Oklahoma City Thunder",0.725609756097561,0.609756097560976
"22","Orlando Magic",0.26219512195122,0.365853658536585
"23","Philadelphia 76ers",0.323170731707317,0.170731707317073
"24","Phoenix Suns",0.445121951219512,0.378048780487805
"25","Portland Trail Blazers",0.530487804878049,0.579268292682927
"26","Sacramento Kings",0.341463414634146,0.378048780487805
"27","San Antonio Spurs",0.731707317073171,0.74390243902439
"28","Toronto Raptors",0.5,0.640243902439024
"29","Utah Jazz",0.414634146341463,0.475609756097561
"30","Washington Wizards",0.445121951219512,0.530487804878049
